,index,utterance,intentClass
0,0,wow!,O
1,1,WTF,O
2,2,wpe wpe,O
3,3,hahaha,O
4,4,wtf,O
5,5,i cant [SEPA] play [SEPA] with 4 trash,E
6,6,bg,O
7,7,=) [SEPA] ty,O
8,8,[SEPA] report my team rat [SEPA] please,A
9,9,ez mid,I
10,10,hahah,O
11,11,my arrows [SEPA] always decent [SEPA] fuck u,E
12,12,gh,O
13,13,"always engage at bot, lc cant takle bot then top",O
14,14,cmon,O
15,15,the comeback is real. :),O
16,16,him mid vs me,O
17,17,just end [SEPA] i wan nex game,O
18,18,g?,A
19,19,he is not losing,O
20,20,Pls report sb thanks,A
21,21,omg,O
22,22,ggwp,O
23,23,WP cap,O
24,24,lo [SEPA] lol,O
25,25,fuyckjerfe,E
26,26,noob mid invoker,E
27,27,i mean not everyone on ur team is dumb enough to rot to 20% hp,E
28,28,8 7?,O
29,29,it just random,O
30,30,:/,O
31,31,u dead [SEPA] .i.,O
32,32,he just keeps charhing [SEPA] since spectre comited ult [SEPA] so did I :D [SEPA] i thought they will go for more blood [SEPA] but whatever,O
33,33,me too,O
34,34,gg ty for mmr,O
35,35,gg,O
36,36,you know you can take the mana thing out of the mana boots,O
37,37,u gave me free farm [SEPA] u could kill me 100 times,O
38,38,+++,O
39,39,?,O
40,40,[SEPA] legoin report,A
41,41,WP m8 [SEPA] nice game but too many talk [SEPA] thx sea [SEPA] too many talktalktalk,O
42,42,SHIT,E
43,43,talking to my boy alch,O
44,44,TIME FOR A BIT OF RO SHAM BO,O
45,45,COMEND DOOM IN LEGION,A
46,46,greedy,O
47,47,dont def [SEPA] noob team,E
48,48,gg,O
49,49,spectre isnt meant to win the lane,O
50,50,shit [SEPA] SHIT [SEPA] SHIT [SEPA] SHITTT! :),E
51,51,sad bs,O
52,52,ez,I
53,53,T T QOP,O
54,54,you guys win this fag went mid [SEPA] so fucking bad mid,E
55,55,Alche and lycan,O
56,56,Rip,O
57,57,"singing siren ,dancing jugg",O
58,58,ez game,I
59,59,meeporino feederino,O
60,60,ur asshole,E
61,61,Thats all I gotta say [SEPA] Drow 2-5,I
62,62,COMMEND,A
63,63,lowskill shits [SEPA] all you have to do is dive endlessly [SEPA] and this cunt silencer and invoekr [SEPA] let you win,E
64,64,for the russian team obama....could have at nuked putin,E
65,65,wise ffs [SEPA] can youi stop inviting strangers to fuck your grandmothers' corpse ?,E
66,66,nice,O
67,67,heng i never die,E
68,68,We all randomed,O
69,69,golden medal for u lc,O
70,70,GG lag,O
71,71,HAHA,O
72,72,btw AM nice blink into stun :D,O
73,73,who care [SEPA] ?,O
74,74,emergency plan sry,O
75,75,i want slardar getting strong,O
76,76,ahahaha,O
77,77,ez tho,I
78,78,i know your feeling bro,O
79,79,whos your daddy,O
80,80,stunning,O
81,81,5 man doto,O
82,82,gg wp [SEPA] Sry for my feed,O
83,83,dnt play storm,I
84,84,^LOL,O
85,85,this couldn't be won,O
86,86,gg wp,O
87,87,weaver mid dont worry,O
88,88,trone,O
89,89,./. [SEPA] bm?,O
90,90,gj guys...,O
91,91,gg wp,O
92,92,Ty,O
93,93,so ez [SEPA],I
94,94,hahahai,O
95,95,and blame us,O
96,96,YEAAHHHHHHHHH [SEPA] GGGGGGGGGGGG,O
97,97,EZ,I
98,98,aw,O
99,99,and telling im too much of a solo player,O
100,100,"He's never picked in pubs, and the only bracket he has over 50% win rate is 'very high skill' on asian servers. [SEPA] So shut up and pick something fun. [SEPA] You cucks.",E
101,101,2v5 game,O
102,102,lmao,O
103,103,captain obvious,O
104,104,ggwp,O
105,105,lol,O
106,106,right,O
107,107,^^ [SEPA] :D:DD,O
108,108,:D,O
109,109,better buy ur ticket,O
110,110,lol,O
111,111,game was close,O
112,112,this furion dont kno necro book and push i think :D,O
113,113,rage quit agad,I
114,114,DONT PANIC,O
115,115,GGW{P,O
116,116,wow [SEPA] blame ? [SEPA] see,O
117,117,sad game [SEPA] oh i have kills,O
118,118,glad you got,O
119,119,"gogo, end now mid all",O
120,120,i did,O
121,121,i leave 4 u,O
122,122,play in a five stack [SEPA] or put with th,O
123,123,24,A
124,124,come to mama,O
125,125,hhaha,O
126,126,#throws,O
127,127,ez noobs,E
128,128,Tol musta [SEPA] Text text nalang,O
129,129,shit happens :),E
130,130,? [SEPA] i am not,O
131,131,waaa,O
132,132,void head,O
133,133,top t2 for rosh,O
134,134,duza lose man,O
135,135,xaxaxa,O
136,136,gee gee wp,O
137,137,we play 5x4 22 min,O
138,138,wheres my facepalm emote [SEPA] talking when ur legion carry u,O
139,139,best all time [SEPA] report brew pls i'll commend u guys,A
140,140,GG,O
141,141,ofc its ez,I
142,142,stupid??no ward,E
143,143,,O
144,144,we rosh now,O
145,145,really?,O
146,146,LOL,O
147,147,i fuck ur family [SEPA] NOOB,E
148,148,i buy,O
149,149,its over [SEPA] late game [SEPA] obviusly you win [SEPA] GG,O
150,150,gg wp,O
151,151,lol,O
152,152,invoker pro [SEPA] kill snierp wihtout dust [SEPA] hey snieper,O
153,153,noob,E
154,154,ez mid,I
155,155,basically me and mirana are on the wrong [SEPA] ggwp,O
156,156,gg,O
157,157,:))),O
158,158,repórt rubick,E
159,159,O M F G [SEPA] FANI)A)(SUPHD} [SEPA] brood won the REST IS SHIT,E
160,160,"Dude, 50% slow with 180 pure damage, with a chance to crit, on a 6 second cooldown [SEPA] for basically 0 mana [SEPA] Genuinely",O
161,161,ggwp,O
162,162,wait,A
163,163,for ?,O
164,164,rat dota best dota,O
165,165,come game,O
166,166,why dont end?,O
167,167,he think i don dare to feed [SEPA] HAHA,O
168,168,how long mor [SEPA] more*,O
169,169,rofl indeed,O
170,170,i want leader,O
171,171,hi leong sir,O
172,172,ggwp,O
173,173,hi serenity,O
174,174,TY,O
175,175,gg,O
176,176,can you report this [SEPA] alche,A
177,177,needs a BH [SEPA] still loses,O
178,178,See u next game noob lion,E
179,179,lol,O
180,180,pro clock [SEPA] finish [SEPA],O
181,181,wow [SEPA] pro mirana,O
182,182,"report viper, ty",A
183,183,coz i love u,O
184,184,ggwp,O
185,185,wO!,O
186,186,gg wp,O
187,187,AHAHAHA [SEPA] 1vs9090123,O
188,188,reason,O
189,189,can you help us report invoker ;),A
190,190,w8 plz,A
191,191,eco mantan,O
192,192,wp,O
193,193,LUNA LVL 6 HAHAHA,O
194,194,need recon,A
195,195,THANKS TO ME I GUESS,O
196,196,np go rat only [SEPA] HAHA,O
197,197,they [SEPA] really [SEPA] bought [SEPA] account,I
198,198,you didn't dc,A
199,199,end,O
200,200,try hard,O
201,201,end nomas,O
202,202,gg,O
203,203,im only one hgahahah,O
204,204,both team are stupid [SEPA],E
205,205,just end [SEPA] guys [SEPA] alche 3.8,O
206,206,go play,O
207,207,gg!!,O
208,208,yea lol [SEPA] a carry that got carried,O
209,209,haha,O
210,210,GG [SEPA] Tired of this game already [SEPA] Level 2 Invo in jungle [SEPA] Gank him,O
211,211,i pumped a load of cum into your mums ass hole last night,E
212,212,hahaha [SEPA] im only 1 there no one came :( [SEPA] hahaha,O
213,213,bye,O
214,214,help thx [SEPA] nope [SEPA] today only alc [SEPA] normal i wont play,I
215,215,g [SEPA] g,A
216,216,ez game,I
217,217,did I hit you with tht?,O
218,218,2 minute [SEPA] no more no less,O
219,219,ez,I
220,220,is unstable [SEPA] no point,O
221,221,WR for suporting our asses,E
222,222,tb and veno are the only competent ones [SEPA] wr maxed wind run first in case you were wondering...,O
223,223,easy mid !,O
224,224,btu we wouldve won if we d idnt have this cm or doom,O
225,225,aso,O
226,226,rl,O
227,227,i bleme team [SEPA] team gimme aids [SEPA] i blem temA [SEPA] report ten,A
228,228,wp,O
229,229,lich carrying tissue paper,O
230,230,dsnt make a diff i come or not [SEPA] fuckin dickhead,E
231,231,Ge ge,O
232,232,he'll come [SEPA] party,O
233,233,YEAH DIDNT HAD THJE SLOT TO DUST [SEPA] ADN ALSO GYRO FFEDED A LOT [SEPA] STILL WE TRIED,O
234,234,why does your slardar think dazzle is a bad hero btw?,O
235,235,so noob crys,E
236,236,e.e,O
237,237,we have to pause 3 more times,A
238,238,(,O
239,239,gg [SEPA] just end,O
240,240,hahaha,O
241,241,haha [SEPA] haha,O
242,242,ehehe [SEPA] have problem?,O
243,243,ge ni mei,O
244,244,great gane,O
245,245,brobounty [SEPA] brounty,O
246,246,gg,O
247,247,WP,O
248,248,GIGIL TO MAX [SEPA] Ez game [SEPA] pudge?,I
249,249,hjaha,O
250,250,1000 mmr player,O
251,251,HAhaha,O
252,252,entertain ur fingers defending ur ancient [SEPA] haha,O
253,253,Ez 4v5,I
254,254,PROBLEMS? [SEPA] EZ PICK DAZLE ORACLE EZ GAME! [SEPA] FEED ONLY OPTION,I
255,255,gg,O
256,256,did u see gyro earlyy socre?,O
257,257,TY MEEPO,O
258,258,COMMEND ME TNX,A
259,259,we lost,O
260,260,)),O
261,261,wut a sad cunt,E
262,262,One by one?,O
263,263,support,O
264,264,HOW BOUT MID?,O
265,265,lol mirana is flying,O
266,266,report [SEPA] plz,A
267,267,muy pro,O
268,268,stupid valve,E
269,269,??,O
270,270,kkk,O
271,271,ez bara charge,I
272,272,well im deinfinately reporting sf,A
273,273,u put 5 hundy on it [SEPA] ahahahahah [SEPA] EPIC,O
274,274,goblok!,O
275,275,GG,O
276,276,?,O
277,277,noob sniper,E
278,278,RO)FL,O
279,279,are you [SEPA] you shits [SEPA] to get dumpstered [SEPA] by my legendary slardar,E
280,280,see WR ? [SEPA] why laught,O
281,281,gg,O
282,282,lel,O
283,283,cause pudge,O
284,284,lmao ez,I
285,285,yo flare [SEPA] whats,O
286,286,sk didnt realize for the first seconds wow,O
287,287,in dota [SEPA] minute [SEPA] don't be those guys,O
288,288,is that a tiger or a in ur logo?,O
289,289,wo [SEPA] wp,O
290,290,NO REASON TO CONTINUE,O
291,291,1 hit,O
292,292,[SEPA] NOOB,E
293,293,glhf,O
294,294,e 4e tam?,O
295,295,EZ,I
296,296,bought acc,I
297,297,[SEPA] ez [SEPA] zombie win,I
298,298,where ur,O
299,299,1v1,O
300,300,COMEBACK :# [SEPA] :3 [SEPA] NO,O
301,301,ok,O
302,302,wouldnt want you to lose dp,O
303,303,hahah alc,O
304,304,sorry I couldnt resist,O
305,305,please report quitters in my team.,A
306,306,Hahaha [SEPA] ggwp [SEPA] hahaha,O
307,307,Fucking hell,E
308,308,FOR THE SON [SEPA] OF GOD [SEPA] ALL THE FCKING [SEPA] JUNGLE [SEPA] ITS WARDED,E
309,309,retard stalker 0-14 [SEPA],E
310,310,don,O
311,311,7 more,O
312,312,report bh ty :D,A
313,313,only know ohhh,O
314,314,IIIIIII NEED TO KNOW NOW KNOW NOW CAN YOU LOVE ME AGAIN!!!!,O
315,315,"boys, i dont want to spend 10 min my to w8 ur mate",A
316,316,SLARK,O
317,317,w8 plz [SEPA] mouse prob,A
318,318,and yet i live,O
319,319,?,O
320,320,b,O
321,321,THIS 2K STORM [SEPA] OMG,I
322,322,HAPPY NEW YEAR :D,O
323,323,1400 [SEPA] Nice,O
324,324,LOL,O
325,325,u lsot mid bro,O
326,326,i thought junglers couldnt get any worse,E
327,327,gege,O
328,328,noooo,O
329,329,Gg,O
330,330,rekt,O
331,331,invoker what the are u playing?,O
